geoid,name,B01003001,"B01003001, Error"
14000US06073000100,"Census Tract 1, San Diego, CA",2773,185
14000US06073000201,"Census Tract 2.01, San Diego, CA",2158,241
14000US06073000202,"Census Tract 2.02, San Diego, CA",4828,415
14000US06073000300,"Census Tract 3, San Diego, CA",4946,405
14000US06073000400,"Census Tract 4, San Diego, CA",3916,306
14000US06073000500,"Census Tract 5, San Diego, CA",2957,224
14000US06073000600,"Census Tract 6, San Diego, CA",2921,237
14000US06073000700,"Census Tract 7, San Diego, CA",4507,327
14000US06073000800,"Census Tract 8, San Diego, CA",4232,467
14000US06073000900,"Census Tract 9, San Diego, CA",5796,503
14000US06073001000,"Census Tract 10, San Diego, CA",5328,407
14000US06073001100,"Census Tract 11, San Diego, CA",3356,254
14000US06073001200,"Census Tract 12, San Diego, CA",5983,483
14000US06073001300,"Census Tract 13, San Diego, CA",6531,439
14000US06073001400,"Census Tract 14, San Diego, CA",3198,228
14000US06073001500,"Census Tract 15, San Diego, CA",3894,359
14000US06073001600,"Census Tract 16, San Diego, CA",5012,712
14000US06073001700,"Census Tract 17, San Diego, CA",4568,494
14000US06073001800,"Census Tract 18, San Diego, CA",5235,598
14000US06073001900,"Census Tract 19, San Diego, CA",3321,286
14000US06073002001,"Census Tract 20.01, San Diego, CA",3461,233
14000US06073002002,"Census Tract 20.02, San Diego, CA",2656,230
14000US06073002100,"Census Tract 21, San Diego, CA",4880,471
14000US06073002201,"Census Tract 22.01, San Diego, CA",3571,429
14000US06073002202,"Census Tract 22.02, San Diego, CA",5333,469
14000US06073002301,"Census Tract 23.01, San Diego, CA",3056,293
14000US06073002302,"Census Tract 23.02, San Diego, CA",7468,735
14000US06073002401,"Census Tract 24.01, San Diego, CA",4758,462
14000US06073002402,"Census Tract 24.02, San Diego, CA",5107,524
14000US06073002501,"Census Tract 25.01, San Diego, CA",6106,599
14000US06073002502,"Census Tract 25.02, San Diego, CA",6326,539
14000US06073002601,"Census Tract 26.01, San Diego, CA",5663,511
14000US06073002602,"Census Tract 26.02, San Diego, CA",4186,415
14000US06073002702,"Census Tract 27.02, San Diego, CA",5972,433
14000US06073002703,"Census Tract 27.03, San Diego, CA",7390,825
14000US06073002705,"Census Tract 27.05, San Diego, CA",4757,429
14000US06073002707,"Census Tract 27.07, San Diego, CA",5602,599
14000US06073002708,"Census Tract 27.08, San Diego, CA",5914,446
14000US06073002709,"Census Tract 27.09, San Diego, CA",3913,471
14000US06073002710,"Census Tract 27.10, San Diego, CA",4524,344
14000US06073002711,"Census Tract 27.11, San Diego, CA",3396,271
14000US06073002712,"Census Tract 27.12, San Diego, CA",4835,382
14000US06073002801,"Census Tract 28.01, San Diego, CA",3204,429
14000US06073002803,"Census Tract 28.03, San Diego, CA",5495,696
14000US06073002804,"Census Tract 28.04, San Diego, CA",5193,545
14000US06073002902,"Census Tract 29.02, San Diego, CA",7176,745
14000US06073002903,"Census Tract 29.03, San Diego, CA",4125,376
14000US06073002904,"Census Tract 29.04, San Diego, CA",8445,725
14000US06073002905,"Census Tract 29.05, San Diego, CA",4683,467
14000US06073003001,"Census Tract 30.01, San Diego, CA",4422,708
14000US06073003003,"Census Tract 30.03, San Diego, CA",5151,457
14000US06073003004,"Census Tract 30.04, San Diego, CA",5116,495
14000US06073003101,"Census Tract 31.01, San Diego, CA",3846,402
14000US06073003103,"Census Tract 31.03, San Diego, CA",6559,486
14000US06073003105,"Census Tract 31.05, San Diego, CA",4373,396
14000US06073003107,"Census Tract 31.07, San Diego, CA",6426,504
14000US06073003109,"Census Tract 31.09, San Diego, CA",3373,222
14000US06073003111,"Census Tract 31.11, San Diego, CA",7220,582
14000US06073003112,"Census Tract 31.12, San Diego, CA",4578,428
14000US06073003113,"Census Tract 31.13, San Diego, CA",5635,475
14000US06073003114,"Census Tract 31.14, San Diego, CA",3768,288
14000US06073003115,"Census Tract 31.15, San Diego, CA",7067,478
14000US06073003201,"Census Tract 32.01, San Diego, CA",5421,378
14000US06073003202,"Census Tract 32.02, San Diego, CA",4713,500
14000US06073003204,"Census Tract 32.04, San Diego, CA",3719,486
14000US06073003208,"Census Tract 32.08, San Diego, CA",6841,747
14000US06073003209,"Census Tract 32.09, San Diego, CA",5421,404
14000US06073003211,"Census Tract 32.11, San Diego, CA",3496,259
14000US06073003212,"Census Tract 32.12, San Diego, CA",3715,530
14000US06073003213,"Census Tract 32.13, San Diego, CA",4448,410
14000US06073003214,"Census Tract 32.14, San Diego, CA",5278,357
14000US06073003301,"Census Tract 33.01, San Diego, CA",3440,370
14000US06073003303,"Census Tract 33.03, San Diego, CA",4602,502
14000US06073003304,"Census Tract 33.04, San Diego, CA",4312,385
14000US06073003305,"Census Tract 33.05, San Diego, CA",5913,582
14000US06073003401,"Census Tract 34.01, San Diego, CA",6857,631
14000US06073003403,"Census Tract 34.03, San Diego, CA",3583,375
14000US06073003404,"Census Tract 34.04, San Diego, CA",5209,437
14000US06073003501,"Census Tract 35.01, San Diego, CA",5014,490
14000US06073003502,"Census Tract 35.02, San Diego, CA",4880,334
14000US06073003601,"Census Tract 36.01, San Diego, CA",2839,261
14000US06073003602,"Census Tract 36.02, San Diego, CA",3398,232
14000US06073003603,"Census Tract 36.03, San Diego, CA",4539,575
14000US06073003800,"Census Tract 38, San Diego, CA",6640,1040
14000US06073003901,"Census Tract 39.01, San Diego, CA",4287,291
14000US06073003902,"Census Tract 39.02, San Diego, CA",4811,660
