geoid,name,B08134001,"B08134001, Error",B08134002,"B08134002, Error",B08134003,"B08134003, Error",B08134004,"B08134004, Error",B08134005,"B08134005, Error",B08134006,"B08134006, Error",B08134007,"B08134007, Error",B08134008,"B08134008, Error",B08134009,"B08134009, Error",B08134010,"B08134010, Error",B08134011,"B08134011, Error",B08134012,"B08134012, Error",B08134013,"B08134013, Error",B08134014,"B08134014, Error",B08134015,"B08134015, Error",B08134016,"B08134016, Error",B08134017,"B08134017, Error",B08134018,"B08134018, Error",B08134019,"B08134019, Error",B08134020,"B08134020, Error",B08134021,"B08134021, Error",B08134022,"B08134022, Error",B08134023,"B08134023, Error",B08134024,"B08134024, Error",B08134025,"B08134025, Error",B08134026,"B08134026, Error",B08134027,"B08134027, Error",B08134028,"B08134028, Error",B08134029,"B08134029, Error",B08134030,"B08134030, Error",B08134031,"B08134031, Error",B08134032,"B08134032, Error",B08134033,"B08134033, Error",B08134034,"B08134034, Error",B08134035,"B08134035, Error",B08134036,"B08134036, Error",B08134037,"B08134037, Error",B08134038,"B08134038, Error",B08134039,"B08134039, Error",B08134040,"B08134040, Error",B08134041,"B08134041, Error",B08134042,"B08134042, Error",B08134043,"B08134043, Error",B08134044,"B08134044, Error",B08134045,"B08134045, Error",B08134046,"B08134046, Error",B08134047,"B08134047, Error",B08134048,"B08134048, Error",B08134049,"B08134049, Error",B08134050,"B08134050, Error",B08134051,"B08134051, Error",B08134052,"B08134052, Error",B08134053,"B08134053, Error",B08134054,"B08134054, Error",B08134055,"B08134055, Error",B08134056,"B08134056, Error",B08134057,"B08134057, Error",B08134058,"B08134058, Error",B08134059,"B08134059, Error",B08134060,"B08134060, Error",B08134061,"B08134061, Error",B08134062,"B08134062, Error",B08134063,"B08134063, Error",B08134064,"B08134064, Error",B08134065,"B08134065, Error",B08134066,"B08134066, Error",B08134067,"B08134067, Error",B08134068,"B08134068, Error",B08134069,"B08134069, Error",B08134070,"B08134070, Error",B08134071,"B08134071, Error",B08134072,"B08134072, Error",B08134073,"B08134073, Error",B08134074,"B08134074, Error",B08134075,"B08134075, Error",B08134076,"B08134076, Error",B08134077,"B08134077, Error",B08134078,"B08134078, Error",B08134079,"B08134079, Error",B08134080,"B08134080, Error",B08134081,"B08134081, Error",B08134082,"B08134082, Error",B08134083,"B08134083, Error",B08134084,"B08134084, Error",B08134085,"B08134085, Error",B08134086,"B08134086, Error",B08134087,"B08134087, Error",B08134088,"B08134088, Error",B08134089,"B08134089, Error",B08134090,"B08134090, Error",B08134091,"B08134091, Error",B08134092,"B08134092, Error",B08134093,"B08134093, Error",B08134094,"B08134094, Error",B08134095,"B08134095, Error",B08134096,"B08134096, Error",B08134097,"B08134097, Error",B08134098,"B08134098, Error",B08134099,"B08134099, Error",B08134100,"B08134100, Error",B08134101,"B08134101, Error",B08134102,"B08134102, Error",B08134103,"B08134103, Error",B08134104,"B08134104, Error",B08134105,"B08134105, Error",B08134106,"B08134106, Error",B08134107,"B08134107, Error",B08134108,"B08134108, Error",B08134109,"B08134109, Error",B08134110,"B08134110, Error",B08134111,"B08134111, Error",B08134112,"B08134112, Error",B08134113,"B08134113, Error",B08134114,"B08134114, Error",B08134115,"B08134115, Error",B08134116,"B08134116, Error",B08134117,"B08134117, Error",B08134118,"B08134118, Error",B08134119,"B08134119, Error",B08134120,"B08134120, Error"
14000US06073000100,"Census Tract 1, San Diego, CA",1125,136,189,72,264,86,180,64,158,60,40,31,101,51,69,47,47,34,77,50,1072,136,165,70,253,85,180,64,158,60,40,31,101,51,58,40,47,34,70,48,1033,132,165,70,253,85,165,60,158,60,40,31,90,48,45,34,47,34,70,48,39,34,0,12,0,12,15,20,0,12,0,12,11,17,13,21,0,12,0,12,39,34,0,12,0,12,15,20,0,12,0,12,11,17,13,21,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,11,18,0,12,0,12,0,12,0,12,0,12,0,12,11,18,0,12,0,12,11,18,0,12,0,12,0,12,0,12,0,12,0,12,11,18,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,25,24,14,16,11,18,0,12,0,12,0,12,0,12,0,12,0,12,0,12,17,13,10,14,0,12,0,12,0,12,0,12,0,12,0,12,0,12,7,11
14000US06073000201,"Census Tract 2.01, San Diego, CA",1083,209,101,60,113,81,132,52,288,113,99,67,76,46,132,118,49,44,93,61,910,218,60,37,113,81,132,52,288,113,99,67,76,46,104,118,27,25,11,17,866,213,60,37,113,81,132,52,278,113,99,67,42,31,104,118,27,25,11,17,44,51,0,12,0,12,0,12,10,16,0,12,34,49,0,12,0,12,0,12,44,51,0,12,0,12,0,12,10,16,0,12,34,49,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,71,48,0,12,0,12,0,12,0,12,0,12,0,12,28,30,22,31,21,29,60,42,0,12,0,12,0,12,0,12,0,12,0,12,28,30,22,31,10,17,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,11,17,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,11,17,41,43,41,43,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,61,49,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,61,49
14000US06073000202,"Census Tract 2.02, San Diego, CA",2736,361,133,68,528,231,895,273,439,201,215,133,268,144,130,106,104,84,24,35,2432,352,117,65,461,223,880,271,425,199,161,107,158,105,117,104,104,84,9,15,2331,359,91,56,461,223,805,267,425,199,161,107,158,105,117,104,104,84,9,15,101,82,26,42,0,12,75,74,0,12,0,12,0,12,0,12,0,12,0,12,101,82,26,42,0,12,75,74,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,110,105,0,12,0,12,0,12,0,12,0,12,110,105,0,12,0,12,0,12,110,105,0,12,0,12,0,12,0,12,0,12,110,105,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,54,83,0,12,0,12,0,12,0,12,54,83,0,12,0,12,0,12,0,12,140,84,16,26,67,57,15,25,14,22,0,12,0,12,13,22,0,12,15,26
14000US06073000300,"Census Tract 3, San Diego, CA",2814,371,339,126,478,191,779,234,294,123,161,83,318,140,149,87,151,80,145,105,2316,336,218,108,423,186,622,176,271,111,161,83,296,133,132,80,117,67,76,94,2188,304,218,108,378,147,622,176,225,98,161,83,296,133,125,80,87,55,76,94,128,101,0,12,45,65,0,12,46,54,0,12,0,12,7,17,30,38,0,12,82,78,0,12,45,65,0,12,0,12,0,12,0,12,7,17,30,38,0,12,46,54,0,12,0,12,0,12,46,54,0,12,0,12,0,12,0,12,0,12,77,50,0,12,0,12,0,12,2,5,0,12,0,12,17,27,18,29,40,37,62,44,0,12,0,12,0,12,2,5,0,12,0,12,17,27,18,29,25,28,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,15,25,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,15,25,203,109,121,78,20,31,30,35,0,12,0,12,0,12,0,12,16,26,16,25,218,125,0,12,35,39,127,107,21,33,0,12,22,35,0,12,0,12,13,20
14000US06073000400,"Census Tract 4, San Diego, CA",2372,289,164,101,385,163,569,203,211,91,270,137,335,153,169,115,113,83,156,159,1768,299,111,74,267,116,522,201,200,90,260,137,190,88,111,89,67,61,40,47,1663,292,111,74,267,116,467,204,200,90,239,124,190,88,98,87,51,47,40,47,105,79,0,12,0,12,55,51,0,12,21,32,0,12,13,23,16,28,0,12,105,79,0,12,0,12,55,51,0,12,21,32,0,12,13,23,16,28,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,416,204,0,12,41,65,31,45,0,12,10,17,114,113,58,71,46,55,116,152,416,204,0,12,41,65,31,45,0,12,10,17,114,113,58,71,46,55,116,152,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,110,91,53,67,15,24,0,12,11,17,0,12,31,46,0,12,0,12,0,12,78,86,0,12,62,83,16,28,0,12,0,12,0,12,0,12,0,12,0,12
14000US06073000500,"Census Tract 5, San Diego, CA",1780,206,159,85,337,131,421,112,322,107,132,70,186,83,84,57,52,34,87,64,1608,184,114,73,311,128,421,112,314,109,104,56,157,75,84,57,36,27,67,59,1569,186,114,73,311,128,421,112,289,104,100,55,157,75,84,57,36,27,57,56,39,46,0,12,0,12,0,12,25,38,4,8,0,12,0,12,0,12,10,19,39,46,0,12,0,12,0,12,25,38,4,8,0,12,0,12,0,12,10,19,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,91,60,15,24,0,12,0,12,0,12,28,42,21,20,0,12,7,10,20,21,69,54,0,12,0,12,0,12,0,12,28,42,21,20,0,12,0,12,20,21,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,22,26,15,24,0,12,0,12,0,12,0,12,0,12,0,12,7,10,0,12,24,23,20,21,0,12,0,12,0,12,0,12,4,9,0,12,0,12,0,12,57,33,10,15,26,23,0,12,8,12,0,12,4,8,0,12,9,15,0,12
14000US06073000600,"Census Tract 6, San Diego, CA",1876,218,114,56,423,127,332,98,278,91,65,42,322,123,127,64,171,75,44,27,1681,214,89,49,369,123,324,98,241,81,50,34,304,123,127,64,156,72,21,24,1486,184,89,49,347,120,273,79,241,81,42,31,209,124,117,63,147,70,21,24,195,102,0,12,22,26,51,47,0,12,8,13,95,81,10,15,9,14,0,12,125,85,0,12,22,26,0,12,0,12,8,13,95,81,0,12,0,12,0,12,70,52,0,12,0,12,51,47,0,12,0,12,0,12,10,15,9,14,0,12,48,31,0,12,0,12,0,12,8,14,0,12,11,14,0,12,15,17,14,15,48,31,0,12,0,12,0,12,8,14,0,12,11,14,0,12,15,17,14,15,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,47,50,14,17,18,24,0,12,0,12,15,23,0,12,0,12,0,12,0,12,100,54,11,17,36,30,8,13,29,37,0,12,7,11,0,12,0,12,9,13
14000US06073000700,"Census Tract 7, San Diego, CA",2940,335,375,158,401,135,751,208,389,146,173,111,307,150,120,89,195,127,229,151,2529,278,346,159,372,137,586,162,389,146,173,111,280,143,120,89,163,112,100,95,2374,296,312,151,352,139,541,169,389,146,159,109,238,134,120,89,163,112,100,95,155,95,34,55,20,33,45,46,0,12,14,23,42,41,0,12,0,12,0,12,107,78,34,55,0,12,45,46,0,12,0,12,28,33,0,12,0,12,0,12,48,48,0,12,20,33,0,12,0,12,14,23,14,23,0,12,0,12,0,12,127,86,0,12,13,21,19,30,0,12,0,12,17,29,0,12,32,39,46,53,127,86,0,12,13,21,19,30,0,12,0,12,17,29,0,12,32,39,46,53,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,99,86,29,32,0,12,70,79,0,12,0,12,0,12,0,12,0,12,0,12,185,128,0,12,16,26,76,75,0,12,0,12,10,16,0,12,0,12,83,100
14000US06073000800,"Census Tract 8, San Diego, CA",2430,365,93,61,515,160,540,209,416,159,213,114,362,156,51,42,115,91,125,94,2174,350,55,48,482,159,457,190,416,159,201,113,346,149,37,37,115,91,65,55,1877,311,55,48,450,154,292,136,403,158,144,85,330,150,37,37,101,83,65,55,297,176,0,12,32,54,165,152,13,20,57,71,16,25,0,12,14,22,0,12,255,178,0,12,32,54,137,149,13,20,57,71,16,25,0,12,0,12,0,12,42,31,0,12,0,12,28,32,0,12,0,12,0,12,0,12,14,22,0,12,30,36,0,12,0,12,0,12,0,12,0,12,16,26,14,25,0,12,0,12,30,36,0,12,0,12,0,12,0,12,0,12,16,26,14,25,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,49,37,24,27,0,12,13,21,0,12,12,19,0,12,0,12,0,12,0,12,177,108,14,22,33,39,70,70,0,12,0,12,0,12,0,12,0,12,60,76
14000US06073000900,"Census Tract 9, San Diego, CA",3690,402,441,248,552,226,665,192,670,260,231,101,499,211,171,126,66,55,395,193,3190,379,401,235,503,219,608,191,633,260,203,92,460,202,145,120,49,49,188,112,2770,380,272,153,503,219,572,187,461,166,187,92,422,200,145,120,36,44,172,108,420,270,129,179,0,17,36,40,172,200,16,25,38,43,0,17,13,20,16,26,420,270,129,179,0,17,36,40,172,200,16,25,38,43,0,17,13,20,16,26,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,261,155,0,17,0,17,15,24,0,17,28,43,0,17,10,17,17,27,191,144,261,155,0,17,0,17,15,24,0,17,28,43,0,17,10,17,17,27,191,144,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,101,78,40,57,33,40,0,17,12,21,0,17,0,17,16,25,0,17,0,17,138,79,0,17,16,26,42,48,25,29,0,17,39,42,0,17,0,17,16,26
