Beat number,Total population of beat,White population of beat,Black population of beat,American Indian population of beat,Asian population of beat,Hawaiian population of beat,Hispanic population of beat
0,488,259,55,3,30,2,130
9,241,41,15,0,47,0,119
111,27810,13741,1245,21,5368,214,6204
112,11914,8054,154,47,1218,14,2094
113,12079,8245,61,0,595,0,2742
114,15282,8549,200,82,1890,142,3822
115,49349,24168,1319,200,16428,52,5271
116,16294,11210,338,37,925,29,3115
121,375,325,2,4,0,6,29
122,41558,32461,370,188,1400,32,6181
123,3800,3259,25,38,12,59,315
124,30480,23926,411,106,2547,32,2630
126,3213,1942,35,0,719,5,392
231,9430,4743,82,0,3048,0,1018
232,11386,6187,183,11,3320,28,1189
233,46630,23855,1035,73,13748,192,5205
234,41562,25830,954,37,8625,44,3958
235,2468,1573,60,2,215,0,529
241,20821,13224,654,39,3479,46,2552
242,68092,18226,3090,83,32485,565,9390
243,6235,2297,446,32,2042,5,1063
245,1176,712,43,0,230,12,144
246,15172,7576,255,18,5070,25,1588
311,24873,12587,2208,51,3381,126,4997
312,27756,16265,1860,59,3155,292,4692
313,4154,1889,254,4,706,104,1046
314,3860,1794,261,23,518,56,987
315,12106,7274,845,12,1097,38,2453
316,1097,690,90,0,103,0,194
321,9222,4785,735,23,1198,50,2003
322,10839,7250,443,45,881,58,1798
323,7047,4824,248,16,375,0,1430
324,21501,14920,586,12,1488,31,3758
325,11413,7775,454,22,957,8,1874
326,10755,6317,798,27,1030,0,2191
327,10684,5500,1140,39,1456,8,1993
431,4139,272,1121,10,238,0,2402
432,11769,391,2941,4,1747,0,6435
433,9188,1355,1554,14,320,3,5541
434,10948,1284,2036,50,1521,15,5551
435,356,89,61,1,14,0,177
436,8676,780,2396,0,1583,61,3506
437,32521,2889,3868,43,14057,424,9680
438,17055,3121,1336,1,3397,213,8456
439,2530,189,290,0,1478,18,430
441,16246,891,1870,8,667,5,12481
442,5290,105,268,0,109,0,4695
443,4450,202,229,0,293,0,3726
444,5553,259,540,0,331,4,4374
445,4927,353,756,0,386,146,3247
446,9951,310,1797,275,1248,233,5978
447,6044,1245,1678,3,1081,16,1868
451,15791,2745,2859,5,3989,65,5574
452,7094,637,1101,31,2838,21,2204
511,15861,5770,2124,118,734,52,6874
512,14997,601,893,5,245,0,13236
514,3091,599,165,16,75,0,2161
515,4734,526,310,21,91,0,3721
516,5579,841,359,34,154,0,4044
517,8031,2885,407,66,363,0,3772
518,5434,3374,133,14,288,0,1476
521,7578,3709,1027,7,689,36,1847
522,5069,3228,184,1,713,24,740
523,872,503,58,1,92,2,190
524,5569,3059,476,6,539,14,1312
525,1117,587,102,2,85,1,312
526,498,353,15,3,30,0,81
527,1472,1215,13,0,56,0,168
528,1471,1189,17,1,56,0,185
529,8548,5942,361,16,613,2,1416
531,3923,2738,137,23,221,10,657
541,750,388,74,2,54,4,207
611,12081,7160,883,117,866,52,2646
612,5850,3843,195,17,310,3,1227
613,17785,13166,393,22,921,32,2715
614,10114,7860,136,2,163,2,1710
615,4643,3452,104,7,295,20,647
616,2527,2098,35,0,72,0,277
617,3903,2918,171,11,143,5,511
618,2515,1988,40,6,82,6,270
621,25713,7635,1411,50,6088,16,9336
622,8805,5604,205,8,755,14,1889
623,2456,1733,71,10,187,0,402
624,12893,7616,691,32,748,46,3180
625,1116,733,61,0,43,15,238
626,5798,4414,42,17,255,8,876
627,14956,10538,289,46,975,15,2616
628,4962,3387,361,20,250,17,796
711,7974,504,144,0,619,0,6544
712,26700,784,203,0,437,6,25088
713,6997,954,631,20,1117,6,4100
714,194,6,2,0,2,0,183
721,10021,1902,597,0,421,163,6814
722,14176,1239,210,94,1572,0,10691
723,32083,3080,936,31,3457,341,23579
724,6161,651,150,0,658,0,4539
725,5529,901,555,20,1095,6,2805
811,9589,3934,1263,25,445,0,3599
812,1011,628,22,0,50,0,278
813,38778,21081,2477,111,2049,357,11412
814,5072,3024,330,7,258,0,1258
821,9649,4050,1447,28,819,125,2851
822,6641,2235,1434,49,782,26,1836
823,4163,1077,442,0,714,0,1884
824,8741,3839,994,0,1115,0,2552
825,6147,3861,422,23,428,0,1258
826,11512,410,1639,22,2298,35,6946
827,5494,447,1172,0,1532,13,2237
828,2224,232,575,0,249,0,1142
829,692,72,179,0,77,0,355
831,7467,627,799,0,1804,0,3934
832,5332,337,338,0,831,0,3772
833,5662,482,131,8,921,0,3951
834,9883,878,963,0,1262,29,6698
835,3019,769,372,0,303,12,1476
836,4185,345,460,0,626,0,2730
837,4372,1072,693,0,514,16,1953
838,7201,1194,1237,0,666,0,3873
839,5826,1391,541,33,486,0,3289
841,4124,1483,736,37,409,0,1383
931,8797,3143,151,2,4195,14,960
932,1378,811,12,0,315,1,203
933,7074,5431,37,0,854,20,462
934,42509,23493,930,169,12212,0,3453
935,9140,5670,201,1,2198,0,680
936,7789,3932,161,40,2726,7,757
937,8918,5384,28,13,2116,6,1029
